,Net m²,Brüt m²,Binadaki Kat Sayısı,Isıtma Tipi,Bulunduğu Kat,Bina Yaşı,Mobilya Durumu,Kullanım Durumu,Krediye Uygun,Hayvan Dostu Patili Evler,Ada,Parsel,Listing No,Gross m²,Number of Rooms,Number of Bathrooms,Floor,Suitable for Bank Loan,Number of Floors of the Building,Heating Type,Age of the Building,Furnishing Status,Usage Status,Status of the Property,Maintenance Fee,Rental Income,From Whom,Title Deed Status,House Type,"Video Home Tour
                                                                ?",Unit Exchange,Pet Friendly Paws Houses,Layout,Parcelled,Fiyat,İl,İlçe,Mahalle,Oda
61,80,100m²,4,Kombi (Doğalgaz),Yüksek Giriş,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1550000,İstanbul,Sultanbeyli,Battalgazi, 2 + 1 
62,155,225m²,4,Merkezi Sistem (Isı Payı Ölçer),3,6-10 arası,Eşyasız,Kiracılı,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,İstanbul,Avcılar,Cihangir, 3 + 1 
63,135,140m²,10-20 arası,Kombi (Doğalgaz),3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,2169000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
64,130,145m²,4,Kombi (Doğalgaz),1,6-10 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,10300000,İstanbul,Üsküdar,Salacak, 3 + 1 
65,110,135m²,3,Klima,Bahçe katı,6-10 arası,Sadece Beyaz Eşya,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,7550000,İstanbul,Üsküdar,Küçüksu, 3 + 1 
66,105,115m²,5,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,775000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
67,85,90m²,10,Merkezi Sistem (Isı Payı Ölçer),6,6-10 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Ümraniye,İstiklal, 2 + 1 
68,95,100m²,5,Kalorifer (Doğalgaz),1,,,Boş,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,,,1100000,İstanbul,Avcılar,Mustafa Kemal Paşa, 2 + 1 
69,145,160m²,4,Kombi (Doğalgaz),Bahçe katı,6-10 arası,Sadece Beyaz Eşya,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,5690000,İstanbul,Eyüpsultan,Göktürk Merkez, 3 + 1 
70,155,180m²,4,Kalorifer (Doğalgaz),4,0,Sadece Mutfak,Boş,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,,,2650000,İstanbul,Arnavutköy,Mustafa Kemal Paşa, 4 + 2 
71,63,70m²,8,Kombi (Doğalgaz),5,2,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1300000,İstanbul,Sultanbeyli,Mimar Sinan, 2 + 1 
72,60,65m²,4,Kombi (Doğalgaz),Giriş Katı,21-25 arası,Sadece Mutfak,Kiracılı,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,620000,İstanbul,Şişli,Gülbahar, 1 + 1 
73,138,187m²,10-20 arası,Yerden Isıtma,2,2,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,5950000,İstanbul,Başakşehir,Bahçeşehir 1. Kısım, 3 + 1 
74,65,75m²,5,Soba (Doğalgaz),4,31-35 arası,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,1650000,İstanbul,Güngören,Tozkoparan, 2 + 1 
75,75,85m²,3,Kombi (Doğalgaz),2,6-10 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,2450000,İstanbul,Küçükçekmece,Yeni Mahalle, 2 + 1 
76,90,115m²,10-20 arası,Kombi (Doğalgaz),15,4,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1450000,İstanbul,Esenyurt,Akçaburgaz, 2 + 1 
77,125,130m²,4,Kombi (Doğalgaz),2,21-25 arası,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,2850000,İstanbul,Zeytinburnu,Gökalp, 3 + 1 
78,80,90m²,6,Kombi (Doğalgaz),Giriş Katı,21-25 arası,Eşyasız,Mülk Sahibi,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,1100000,İstanbul,Kağıthane,Harmantepe, 2 + 1 
79,98,110m²,6,Kombi (Doğalgaz),3,0,Sadece Mutfak,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1600000,İstanbul,Tuzla,Aydınlı, 3 + 1 
80,110,120m²,5,Kombi (Doğalgaz),,16-20 arası,,Kiracılı,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,1200000,İstanbul,Ümraniye,Altınşehir, 2 + 1 
81,86,110m²,9,Kombi (Doğalgaz),Bodrum Kat,16-20 arası,Eşyalı (Mobilyalı),Kiracılı,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,3750000,İstanbul,Şişli,Cumhuriyet, 2 + 1 
82,85,95m²,4,Kombi (Doğalgaz),2,1,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1550000,İstanbul,Esenler,Fatih, 2 + 1 
83,85,90m²,3,Kombi (Doğalgaz),1,6-10 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1300000,İstanbul,Beylikdüzü,Yakuplu, 2 + 1 
84,320,360m²,10-20 arası,Merkezi Sistem,15,11-15 arası,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,3950000,İstanbul,Beylikdüzü,Adnan Kahveci, 5 + 2 
85,135,145m²,6,Kombi (Doğalgaz),Bahçe katı,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,685000,İstanbul,Esenyurt,Çınar, 3 + 1 
86,145,160m²,,,,0,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,3200000,İstanbul,Avcılar,Merkez, 4 + 2 
